"row ID","n","name","pos","x","y","player_id","side","event_id","received_at"
"Row1501",38,"L. Chávez","M",57.1,69.6,52798,"home",8287,"2026-07-10T19:01:59.875Z"
"Row3111",16,"L. Foster","F",59.6,55.4,412,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3112",15,"T. Mbatha","M",44.1,37.1,15476,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3113",11,"O. Appollis","M",36.8,73.5,15468,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3114",66,"R. Williams","G",10.7,49.9,14393,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3115",28,"J. Adams","M",48,47.2,14398,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3116",38,"A. Modiba","D",46.5,75.2,14397,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3117",65,"N. Sibisi","D",30.2,20.8,15465,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3118",12,"T. Zwane","M",49.8,64.5,14410,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3119",56,"K. Mudau","D",43.7,14.2,14394,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3120",21,"I. Rayners","F",62.9,32.3,14402,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3121",11,"E. Makgopa","F",53.9,50.2,15470,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3122",68,"T. Mokoena","M",46.9,37.1,14399,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3123",33,"S. Sithole","M",40.7,45.1,1909,"away",8287,"2026-07-10T19:01:59.875Z"
"Row3124",58,"M. Mbokazi","D",34.6,74.2,12123,"away",8287,"2026-07-10T19:01:59.875Z"
