"row ID","event_id","sequence","reason","type","minute","away_score","home_score","assist","player","is_home","sequence (#1)","goal_type","player_id","added_time","player_in","player_out","player_in_id","player_out_id","length","card_type","decision","confirmed","is_manager","text","received_at","is_live"
"Row99_2",8386,1,,"goal",120,1,3,,"L. Martínez",1,,"regular",1687,1,,,,,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_3",8386,2,,"injuryTime",120,,,,,,,,,,,,,,4,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_4",8386,3,,"substitution",115,,,,,0,,,,,"R. Vargas","R. Freuler",3803,4266,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_5",8386,4,,"card",114,,,,"J. López",1,,,34,,,,,,,"yellow",,,,,"2026-07-12T09:01:23.051Z",
"Row99_6",8386,5,,"goal",112,1,2,"J. López","J. Álvarez",1,,"regular",770,,,,,,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_7",8386,6,,"substitution",110,,,,,1,,,,,"J. López","L. Paredes",34,16872,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_8",8386,7,,"substitution",106,,,,,1,,,,,"N. Otamendi","C. Romero",2054,720,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_9",8386,8,,"injuryTime",105,,,,,,,,,,,,,,1,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_10",8386,9,,"card",98,,,,"L. Martínez",1,,,1687,,,,,,,"yellow",,,,,"2026-07-12T09:01:23.051Z",
"Row99_11",8386,10,,"card",97,,,,"T. Almada",1,,,773,,,,,,,"yellow",,,,,"2026-07-12T09:01:23.051Z",
"Row99_12",8386,11,,"substitution",96,,,,,0,,,,,"A. Jashari","D. Zakaria",2005,3616,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_13",8386,12,,"substitution",91,,,,,1,,,,,"T. Almada","E. Fernández",773,387,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_14",8386,13,,"period",90,1,1,,,,,,,,,,,,,,,,,"FT","2026-07-12T09:01:23.051Z",0
"Row99_15",8386,14,,"substitution",90,,,,,0,,,,5,"E. Cömert","R. Rodríguez",942,1582,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_16",8386,15,,"injuryTime",90,,,,,,,,,,,,,,9,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_17",8386,16,,"substitution",86,,,,,0,,,,,"M. Muheim","F. Rieder",1596,2404,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_18",8386,17,,"substitution",86,,,,,0,,,,,"Z. Amdouni","D. Ndoye",22868,551,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_19",8386,18,,"substitution",86,,,,,0,,,,,"S. Widmer","D. Sow",1208,1550,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_20",8386,19,,"substitution",85,,,,,1,,,,,"L. Martínez","R. De Paul",1687,9057,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_21",8386,20,,"substitution",85,,,,,1,,,,,"G. Montiel","N. Molina",23014,761,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_22",8386,21,,"substitution",78,,,,,1,,,,,"N. González","N. Tagliafico",768,1107,,,,,,,"2026-07-12T09:01:23.051Z",
"Row99_23",8386,22,,"card",72,,,,"B. Embolo",0,,,2811,,,,,,,"yellowRed",,,,,"2026-07-12T09:01:23.051Z",
"Row99_24",8386,23,,"varDecision",71,,,,"L. Paredes",1,,,16872,,,,,,,,"mistakenIdentity",0,,,"2026-07-12T09:01:23.051Z",
